# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,45,80,4800,5280
2,0,52,80,4800,5280
1,0,60,80,4800,5280
1,0,67,80,4800,5280
1,0,76,80,4800,5760
2,0,48,80,5280,5760
2,0,55,80,5280,5760
1,0,64,80,5280,5760
1,0,71,80,5280,5760
2,0,41,80,5760,6240
2,0,48,80,5760,6240
2,0,52,80,5760,6240
2,0,57,80,5760,6240
1,0,64,80,5760,6240
1,0,76,80,5760,6240
2,0,40,80,6240,6720
2,0,47,80,6240,6720
2,0,53,80,6240,6720
2,0,55,80,6240,6720
1,0,62,80,6240,6720
1,0,76,80,6240,6480
2,0,36,80,6720,7200
2,0,43,80,6720,7200
2,0,59,80,6720,7200
1,0,76,80,6720,7440
2,0,38,80,7200,7680
2,0,45,80,7200,7680
1,0,60,80,7200,7680
1,0,76,80,7440,7680
2,0,33,80,7680,9600
2,0,40,80,7680,9600
2,0,48,80,7680,9600
2,0,52,80,7680,9120
2,0,54,80,7680,9600
2,0,59,80,7680,8160
1,0,64,80,7680,9600
1,0,78,80,7680,9120
2,0,52,80,8160,9600
2,0,57,80,9120,9600
1,0,76,80,9120,9600
2,0,57,80,9600,9840
1,0,76,80,9600,9840
2,0,59,80,9840,10320
1,0,60,80,10320,10560
1,0,64,80,10560,10720
1,0,66,80,10720,10880
1,0,69,80,10880,11040
1,0,71,80,11040,11140
1,0,72,80,11140,11240
1,0,76,80,11240,11320
1,0,78,80,11320,11420
1,0,79,80,11420,11520
2,0,54,80,11520,11580
2,0,54,80,11520,13440
1,0,64,80,11520,11580
1,0,64,80,11520,13440
1,0,70,80,11520,11580
1,0,70,80,11520,13440
1,0,75,80,11520,11580
1,0,75,80,11520,12000
1,0,80,80,11520,11580
1,0,80,80,11520,11720
1,0,76,80,11580,11660
1,0,80,80,11660,12220
1,0,82,80,11720,11800
1,0,87,80,11800,11860
1,0,88,80,11860,11940
1,0,92,80,11940,12000
1,0,73,80,12000,12360
1,0,73,80,12000,12480
1,0,72,80,12000,12080
1,0,76,80,12080,12140
1,0,80,80,12140,12700
1,0,82,80,12220,12280
1,0,87,80,12280,12340
1,0,88,80,12340,12420
1,0,73,80,12360,12480
1,0,92,80,12420,12480
1,0,75,80,12480,12560
1,0,80,80,12480,13180
1,0,75,80,12480,12960
1,0,76,80,12560,12620
1,0,80,80,12620,13440
1,0,82,80,12700,12760
1,0,87,80,12760,12840
1,0,88,80,12840,12900
1,0,92,80,12900,12960
1,0,73,80,12960,13440
1,0,72,80,12960,13040
1,0,76,80,13040,13100
1,0,80,80,13100,13440
1,0,82,80,13180,13240
1,0,87,80,13240,13320
1,0,88,80,13320,13380
1,0,92,80,13380,13460
2,0,54,80,13460,13520
2,0,54,80,13460,15380
1,0,63,80,13460,13520
1,0,63,80,13460,15380
1,0,69,80,13460,13520
1,0,69,80,13460,15380
1,0,73,80,13460,13520
1,0,73,80,13460,14000
1,0,75,80,13460,13520
1,0,75,80,13460,13940
1,0,80,80,13460,13520
1,0,80,80,13460,13660
1,0,80,80,13460,13940
1,0,78,80,13520,13600
1,0,80,80,13600,14140
1,0,81,80,13660,13720
1,0,85,80,13720,13800
1,0,87,80,13800,13860
1,0,92,80,13860,13940
1,0,73,80,13940,14420
1,0,75,80,13940,14420
1,0,73,80,13940,14980
1,0,78,80,14000,14080
1,0,80,80,14080,14620
1,0,81,80,14140,14220
1,0,85,80,14220,14280
1,0,87,80,14280,14340
1,0,92,80,14340,14420
1,0,73,80,14420,15140
1,0,75,80,14420,14480
1,0,75,80,14420,14900
1,0,78,80,14480,14560
1,0,80,80,14560,15100
1,0,81,80,14620,14700
1,0,85,80,14700,14760
1,0,87,80,14760,14840
1,0,92,80,14840,14900
1,0,73,80,14900,15380
1,0,73,80,14900,15380
1,0,78,80,14980,15040
1,0,80,80,15040,15380
1,0,81,80,15100,15180
1,0,69,80,15140,15380
1,0,85,80,15180,15240
1,0,87,80,15240,15320
1,0,92,80,15320,15380
2,0,54,80,15380,15460
1,0,68,80,15380,15700
1,0,77,80,15380,15860
1,0,89,80,15380,15860
1,0,60,80,15460,15540
1,0,63,80,15540,15620
1,0,68,80,15620,16100
1,0,80,80,15700,15780
1,0,84,80,15780,15860
1,0,60,80,15860,15940
1,0,75,80,15860,16660
1,0,87,80,15860,16820
1,0,63,80,15940,16020
1,0,68,80,16020,16500
1,0,72,80,16100,16180
1,0,80,80,16180,16260
1,0,84,80,16260,16340
1,0,63,80,16340,16420
1,0,68,80,16420,16980
1,0,72,80,16500,16580
1,0,75,80,16580,16820
1,0,80,80,16660,16740
1,0,84,80,16740,16820
1,0,66,80,16820,16900
1,0,80,80,16820,17300
1,0,92,80,16820,17300
1,0,68,80,16900,17300
1,0,72,80,16980,17060
1,0,75,80,17060,17140
1,0,84,80,17140,17220
1,0,87,80,17220,17300
2,0,53,80,17300,17380
1,0,68,80,17300,17620
1,0,79,80,17300,17780
1,0,91,80,17300,17780
2,0,58,80,17380,17460
1,0,62,80,17460,17540
1,0,68,80,17540,18260
1,0,82,80,17620,17700
1,0,86,80,17700,17780
2,0,56,80,17780,17860
1,0,77,80,17780,18580
1,0,89,80,17780,18740
1,0,62,80,17860,17940
1,0,65,80,17940,18020
1,0,70,80,18020,18100
1,0,82,80,18100,18180
1,0,86,80,18180,18260
1,0,62,80,18260,18340
1,0,68,80,18260,18420
1,0,68,80,18340,18740
1,0,70,80,18420,18500
1,0,77,80,18500,18740
1,0,86,80,18580,18660
1,0,89,80,18660,18740
1,0,65,80,18740,18820
1,0,72,80,18740,19220
1,0,84,80,18740,19220
1,0,70,80,18820,18900
1,0,74,80,18900,18980
1,0,80,80,18980,19060
1,0,74,80,19060,19140
1,0,77,80,19140,19220
2,0,52,80,19220,19300
1,0,70,80,19220,19700
1,0,82,80,19220,19700
2,0,59,80,19300,19380
1,0,62,80,19380,19460
1,0,68,80,19460,19540
1,0,74,80,19540,19620
1,0,78,80,19620,19700
2,0,56,80,19700,19780
1,0,68,80,19700,20420
1,0,80,80,19700,20660
1,0,62,80,19780,19860
1,0,66,80,19860,19940
1,0,71,80,19940,20020
1,0,71,80,19940,20180
1,0,74,80,20020,20100
1,0,78,80,20100,20180
2,0,59,80,20180,20260
1,0,78,80,20180,20660
1,0,66,80,20260,20340
1,0,68,80,20340,20660
1,0,74,80,20420,20500
1,0,74,80,20500,20580
1,0,78,80,20580,20980
1,0,62,80,20660,20740
1,0,76,80,20660,21140
1,0,88,80,20660,21140
1,0,68,80,20740,20820
1,0,71,80,20820,20900
1,0,78,80,20900,21140
1,0,74,80,20980,21060
1,0,78,80,21060,21140
2,0,35,80,21140,21200
2,0,42,80,21140,21200
2,0,42,80,21140,21200
2,0,49,80,21140,21220
1,0,75,80,21140,21200
1,0,75,80,21140,21200
1,0,75,80,21140,21620
1,0,78,80,21140,21620
1,0,83,80,21140,21200
1,0,87,80,21140,21620
1,0,90,80,21140,21200
2,0,54,80,21220,21300
2,0,59,80,21300,21380
1,0,64,80,21380,21460
1,0,76,80,21460,21540
1,0,80,80,21540,21620
2,0,52,80,21620,21700
1,0,71,80,21620,22420
1,0,76,80,21620,22020
1,0,83,80,21620,22580
2,0,59,80,21700,21780
1,0,61,80,21780,21860
1,0,68,80,21860,21940
1,0,76,80,21940,22100
1,0,80,80,22020,22100
2,0,56,80,22100,22180
1,0,71,80,22100,22580
1,0,61,80,22180,22260
1,0,64,80,22260,22340
1,0,71,80,22340,22820
1,0,76,80,22420,22500
1,0,80,80,22500,22580
2,0,59,80,22580,22660
1,0,73,80,22580,22900
1,0,85,80,22580,23060
1,0,64,80,22660,22740
1,0,68,80,22740,22820
1,0,69,80,22820,23060
1,0,73,80,22820,23060
1,0,78,80,22900,22980
1,0,83,80,22980,23060
1,0,71,80,23060,23540
1,0,71,80,23060,24500
1,0,75,80,23060,23220
1,0,75,80,23060,23540
1,0,78,80,23060,23540
1,0,83,80,23060,23220
1,0,83,80,23060,23540
1,0,90,80,23060,23220
1,0,87,80,23220,23380
1,0,90,80,23220,23380
1,0,78,80,23380,23540
1,0,66,80,23540,24020
1,0,72,80,23540,24020
1,0,76,80,23540,24020
1,0,81,80,23540,24020
1,0,84,80,23700,23860
1,0,88,80,23700,23860
1,0,76,80,23860,24020
1,0,67,80,24020,24500
1,0,71,80,24020,24980
1,0,74,80,24020,24500
1,0,79,80,24020,24500
1,0,83,80,24180,24340
1,0,86,80,24180,24340
1,0,74,80,24340,24500
1,0,62,80,24500,24980
1,0,69,80,24500,24980
1,0,73,80,24500,24980
1,0,81,80,24500,24980
1,0,85,80,24660,24820
1,0,88,80,24660,24820
1,0,76,80,24820,24980
1,0,71,80,24980,25220
1,0,71,80,24980,25460
1,0,75,80,24980,25460
1,0,78,80,24980,25460
1,0,83,80,24980,25460
1,0,87,80,25140,25300
1,0,90,80,25140,25300
1,0,78,80,25300,25460
1,0,66,80,25460,25940
1,0,72,80,25460,25940
1,0,76,80,25460,25940
1,0,81,80,25460,25940
1,0,84,80,25620,25780
1,0,88,80,25620,25780
1,0,76,80,25780,25940
1,0,67,80,25940,26420
1,0,71,80,25940,26420
1,0,74,80,25940,26420
1,0,79,80,25940,26420
1,0,83,80,26100,26260
1,0,86,80,26100,26260
1,0,74,80,26260,26420
1,0,62,80,26420,26900
1,0,69,80,26420,26900
1,0,73,80,26420,26900
1,0,81,80,26420,26900
1,0,85,80,26580,26740
1,0,88,80,26580,26740
1,0,76,80,26740,26900
2,0,41,80,26900,28820
2,0,48,80,26900,28820
2,0,56,80,26900,28820
1,0,64,80,26900,28820
1,0,69,80,26900,27380
1,0,66,80,27380,28340
1,0,81,80,27380,27860
1,0,78,80,28100,28340
1,0,67,80,28340,28820
1,0,78,80,28340,28500
1,0,78,80,28500,28660
1,0,78,80,28660,28820
2,0,41,80,28820,30740
2,0,48,80,28820,30740
2,0,56,80,28820,30740
1,0,62,80,28820,30740
1,0,67,80,28820,29300
1,0,79,80,28820,30260
1,0,64,80,29300,30260
1,0,65,80,30260,30740
1,0,77,80,30260,30740
2,0,41,80,30740,32660
2,0,47,80,30740,32660
2,0,56,80,30740,32660
1,0,64,80,30740,31220
1,0,61,80,31220,32180
1,0,76,80,31460,31700
1,0,73,80,31700,31940
1,0,73,80,31940,32180
1,0,62,80,32180,32660
1,0,74,80,32180,32340
1,0,74,80,32340,32500
1,0,74,80,32500,32660
2,0,40,80,32660,34580
2,0,47,80,32660,34580
2,0,56,80,32660,34580
1,0,64,80,32660,33140
1,0,65,80,32660,34580
1,0,77,80,32660,34100
1,0,61,80,33140,34100
1,0,62,80,34100,34580
1,0,77,80,34100,34340
1,0,77,80,34340,34580
2,0,38,80,34580,36500
